   -59,    109,   -148,    160,   -125,     22,    166,   -444,    807,  -1236,   1698,  -2148,   2533,  -2783,   2738,  29460,   3709,  -3192,   2730,  -2230,   1710,  -1208,    759,   -391,    117,     60,   -152,    176,   -155,    110,    -57,     -7, 
   -61,    107,   -140,    144,    -98,    -16,    212,   -492,    847,  -1254,   1672,  -2051,   2320,  -2366,   1806,  29383,   4714,  -3590,   2911,  -2295,   1709,  -1170,    705,   -334,     67,     99,   -178,    191,   -161,    110,    -54,     -8, 
   -62,    105,   -131,    126,    -70,    -54,    256,   -536,    881,  -1261,   1634,  -1940,   2095,  -1944,    915,  29229,   5750,  -3973,   3073,  -2344,   1695,  -1122,    644,   -274,     16,    138,   -204,    205,   -166,    109,    -51,    -10, 
   -63,    101,   -122,    108,    -43,    -90,    297,   -575,    907,  -1259,   1585,  -1817,   1859,  -1520,     68,  29000,   6813,  -4337,   3214,  -2376,   1667,  -1065,    577,   -211,    -37,    176,   -228,    217,   -170,    108,    -48,    -13, 
   -63,     98,   -111,     90,    -16,   -124,    335,   -609,    925,  -1247,   1523,  -1681,   1613,  -1098,   -732,  28696,   7898,  -4680,   3334,  -2389,   1625,   -998,    505,   -144,    -90,    214,   -251,    228,   -172,    106,    -44,    -15, 
   -63,     93,   -101,     71,     11,   -158,    370,   -637,    936,  -1226,   1451,  -1535,   1361,   -680,  -1483,  28318,   9003,  -4998,   3430,  -2383,   1570,   -923,    427,    -76,   -143,    251,   -272,    238,   -173,    103,    -39,    -17, 
   -63,     88,    -89,     52,     38,   -189,    401,   -660,    940,  -1196,   1369,  -1380,   1104,   -270,  -2183,  27869,  10122,  -5288,   3501,  -2359,   1501,   -838,    345,     -6,   -196,    286,   -292,    245,   -174,     99,    -35,    -20, 
   -63,     83,    -78,     33,     63,   -218,    429,   -678,    936,  -1156,   1278,  -1218,    844,    130,  -2830,  27350,  11250,  -5546,   3546,  -2315,   1419,   -746,    259,     65,   -249,    320,   -310,    251,   -172,     94,    -29,    -22, 
   -62,     77,    -66,     15,     88,   -245,    453,   -690,    925,  -1109,   1178,  -1048,    584,    517,  -3423,  26765,  12384,  -5770,   3565,  -2253,   1325,   -646,    169,    137,   -300,    352,   -326,    256,   -170,     89,    -24,    -25, 
   -60,     71,    -54,     -4,    111,   -270,    473,   -697,    907,  -1054,   1071,   -874,    324,    889,  -3960,  26115,  13518,  -5956,   3555,  -2171,   1218,   -540,     76,    210,   -350,    382,   -340,    258,   -166,     82,    -18,    -28, 
   -59,     65,    -41,    -22,    133,   -292,    489,   -698,    883,   -991,    958,   -697,     68,   1243,  -4441,  25404,  14647,  -6102,   3517,  -2070,   1100,   -427,    -19,    281,   -399,    409,   -351,    258,   -160,     75,    -12,    -31, 
   -57,     58,    -29,    -39,    153,   -312,    501,   -694,    851,   -922,    839,   -517,   -183,   1577,  -4865,  24635,  15767,  -6205,   3451,  -1951,    971,   -309,   -115,    352,   -444,    434,   -359,    257,   -153,     67,     -6,    -34, 
   -55,     51,    -17,    -56,    172,   -329,    509,   -684,    814,   -847,    716,   -337,   -427,   1890,  -5233,  23812,  16873,  -6263,   3355,  -1814,    832,   -187,   -212,    421,   -487,    455,   -366,    253,   -145,     58,      1,    -37, 
