   -53,     44,     -5,    -72,    190,   -343,    513,   -670,    772,   -766,    589,   -157,   -662,   2179,  -5544,  22938,  17959,  -6273,   3229,  -1659,    683,    -61,   -309,    488,   -528,    474,   -369,    248,   -136,     49,      8,    -39, 
   -50,     37,      7,    -87,    205,   -354,    512,   -650,    723,   -681,    460,     20,   -888,   2443,  -5798,  22018,  19021,  -6233,   3075,  -1488,    527,     68,   -405,    552,   -564,    489,   -369,    240,   -125,     39,     15,    -42, 
   -48,     29,     18,   -101,    219,   -362,    508,   -626,    671,   -592,    329,    194,  -1102,   2681,  -5997,  21056,  20055,  -6142,   2892,  -1302,    364,    198,   -500,    613,   -597,    501,   -367,    230,   -114,     29,     22,    -45, 
   -45,     22,     29,   -114,    230,   -367,    501,   -597,    613,   -500,    198,    364,  -1302,   2892,  -6142,  20055,  21056,  -5997,   2681,  -1102,    194,    329,   -592,    671,   -626,    508,   -362,    219,   -101,     18,     29,    -48, 
   -42,     15,     39,   -125,    240,   -369,    489,   -564,    552,   -405,     68,    527,  -1488,   3075,  -6233,  19021,  22018,  -5798,   2443,   -888,     20,    460,   -681,    723,   -650,    512,   -354,    205,    -87,      7,     37,    -50, 
   -39,      8,     49,   -136,    248,   -369,    474,   -528,    488,   -309,    -61,    683,  -1659,   3229,  -6273,  17959,  22938,  -5544,   2179,   -662,   -157,    589,   -766,    772,   -670,    513,   -343,    190,    -72,     -5,     44,    -53, 
   -37,      1,     58,   -145,    253,   -366,    455,   -487,    421,   -212,   -187,    832,  -1814,   3355,  -6263,  16873,  23812,  -5233,   1890,   -427,   -337,    716,   -847,    814,   -684,    509,   -329,    172,    -56,    -17,     51,    -55, 
   -34,     -6,     67,   -153,    257,   -359,    434,   -444,    352,   -115,   -309,    971,  -1951,   3451,  -6205,  15767,  24635,  -4865,   1577,   -183,   -517,    839,   -922,    851,   -694,    501,   -312,    153,    -39,    -29,     58,    -57, 
   -31,    -12,     75,   -160,    258,   -351,    409,   -399,    281,    -19,   -427,   1100,  -2070,   3517,  -6102,  14647,  25404,  -4441,   1243,     68,   -697,    958,   -991,    883,   -698,    489,   -292,    133,    -22,    -41,     65,    -59, 
   -28,    -18,     82,   -166,    258,   -340,    382,   -350,    210,     76,   -540,   1218,  -2171,   3555,  -5956,  13518,  26115,  -3960,    889,    324,   -874,   1071,  -1054,    907,   -697,    473,   -270,    111,     -4,    -54,     71,    -60, 
   -25,    -24,     89,   -170,    256,   -326,    352,   -300,    137,    169,   -646,   1325,  -2253,   3565,  -5770,  12384,  26765,  -3423,    517,    584,  -1048,   1178,  -1109,    925,   -690,    453,   -245,     88,     15,    -66,     77,    -62, 
   -22,    -29,     94,   -172,    251,   -310,    320,   -249,     65,    259,   -746,   1419,  -2315,   3546,  -5546,  11250,  27350,  -2830,    130,    844,  -1218,   1278,  -1156,    936,   -678,    429,   -218,     63,     33,    -78,     83,    -63, 
   -20,    -35,     99,   -174,    245,   -292,    286,   -196,     -6,    345,   -838,   1501,  -2359,   3501,  -5288,  10122,  27869,  -2183,   -270,   1104,  -1380,   1369,  -1196,    940,   -660,    401,   -189,     38,     52,    -89,     88,    -63, 
   -17,    -39,    103,   -173,    238,   -272,    251,   -143,    -76,    427,   -923,   1570,  -2383,   3430,  -4998,   9003,  28318,  -1483,   -680,   1361,  -1535,   1451,  -1226,    936,   -637,    370,   -158,     11,     71,   -101,     93,    -63, 
   -15,    -44,    106,   -172,    228,   -251,    214,    -90,   -144,    505,   -998,   1625,  -2389,   3334,  -4680,   7898,  28696,   -732,  -1098,   1613,  -1681,   1523,  -1247,    925,   -609,    335,   -124,    -16,     90,   -111,     98,    -63, 
   -13,    -48,    108,   -170,    217,   -228,    176,    -37,   -211,    577,  -1065,   1667,  -2376,   3214,  -4337,   6813,  29000,     68,  -1520,   1859,  -1817,   1585,  -1259,    907,   -575,    297,    -90,    -43,    108,   -122,    101,    -63, 
   -10,    -51,    109,   -166,    205,   -204,    138,     16,   -274,    644,  -1122,   1695,  -2344,   3073,  -3973,   5750,  29229,    915,  -1944,   2095,  -1940,   1634,  -1261,    881,   -536,    256,    -54,    -70,    126,   -131,    105,    -62, 
    -8,    -54,    110,   -161,    191,   -178,     99,     67,   -334,    705,  -1170,   1709,  -2295,   2911,  -3590,   4714,  29383,   1806,  -2366,   2320,  -2051,   1672,  -1254,    847,   -492,    212,    -16,    -98,    144,   -140,    107,    -61, 
    -7,    -57,    110,   -155,    176,   -152,     60,    117,   -391,    759,  -1208,   1710,  -2230,   2730,  -3192,   3709,  29460,   2738,  -2783,   2533,  -2148,   1698,  -1236,    807,   -444,    166,     22,   -125,    160,   -148,    109,    -59, 
